patch_id,input
S2A_MSIL2A_20180413T095031_N9999_R079_T34UEG_76_65,"Provide a comprehensive description of the scene, including the location, seasonal context and land cover distribution."
S2B_MSIL2A_20170824T100019_N9999_R122_T33TWM_48_11,"Provide a description of this image, including the location, season, and distribution of land cover types."
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_20_84,Describe this image in detail.
S2B_MSIL2A_20180421T100029_N9999_R122_T33TWN_62_71,"Provide a comprehensive description of the scene, including the location, seasonal context and land cover distribution."
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNK_82_10,"Explain the observed land cover and spatial patterns, including the location and climate context."
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_40_42,"Describe this satellite image, including the location, season, and observed land cover."
S2A_MSIL2A_20180318T093031_N9999_R136_T35UMB_49_68,"Explain the landscape features visible in this image, including where and when it was captured."
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_76_26,"Provide an analysis of the satellite image, mentioning the geographic location, season, and land cover features."
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_84_61,"Explain what this image shows, including the region, climate zone, and land cover characteristics."
S2A_MSIL2A_20170813T112121_N9999_R037_T29SNC_73_45,"Give a comprehensive overview of the image, specifying the location, climate, and landscape features."
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNB_70_23,"Provide a detailed description, mentioning the location, seasonal context, and different land covers."
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_13_16,"Explain the content of the image, highlighting the location, seasonal context, and land cover distribution."
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_20_80,"Explain the content of the image, highlighting the location, seasonal context, and land cover distribution."
S2B_MSIL2A_20171015T104009_N9999_R008_T31UGR_13_00,"Explain the features in the image, highlighting the geographic context, season, and land cover classes."
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEP_90_77,"Provide a detailed summary of the scene, including the location and distribution of different land cover types."
S2A_MSIL2A_20180510T094031_N9999_R036_T35VLC_61_83,"Give a detailed overview of the image content, including the geographic location and land cover features."
S2A_MSIL2A_20171101T094131_N9999_R036_T35VNK_86_12,"Describe the landscape shown in this satellite image, mentioning the region, climate, and land cover classes."
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_15_64,Describe this image in detail.
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_35_25,"Explain what can be seen in this satellite image, specifying where and when it was captured."
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_12_39,"Explain the landscape features visible in this image, including where and when it was captured."
S2A_MSIL2A_20170813T112121_N9999_R037_T29SNC_03_59,"Provide a detailed summary of the scene, including the location and distribution of different land cover types."
S2B_MSIL2A_20170906T101019_N9999_R022_T34WFS_84_39,"Describe this satellite image, including the location, season, and observed land cover."
S2B_MSIL2A_20170906T101019_N9999_R022_T34WFS_67_11,"Describe the image, specifying the region, climate, and landscape features."
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_23,"Explain what this image shows, including the region, climate zone, and land cover characteristics."
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_15_21,"Provide a comprehensive description of the scene, including the location, seasonal context and land cover distribution."
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_03_56,"Explain the landscape features visible in this image, including where and when it was captured."
S2B_MSIL2A_20170808T094029_N9999_R036_T35ULA_34_83,"Explain the observed land cover and spatial patterns, including the location and climate context."
S2A_MSIL2A_20180413T095031_N9999_R079_T35VLG_08_43,"Provide an analysis of the satellite image, mentioning the geographic location, season, and land cover features."
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_90_57,"Explain the content of the image, highlighting the location, seasonal context, and land cover distribution."
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNB_06_60,"Explain the observed features in the image, specifying the geographic and seasonal context."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VNH_04_34,"Describe the landscape shown in this satellite image, mentioning the region, climate, and land cover classes."
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_79_31,"Describe the observed landscape, specifying the geographic location, season, and land cover composition."
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_38_28,"Provide a summary of the scene, including geographic information, season, and land cover classes."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_78_22,"Provide a description of this satellite image, including its geographic location, season, and land cover types."
S2B_MSIL2A_20171015T104009_N9999_R008_T31UGR_21_29,"Provide a detailed description, mentioning the location, seasonal context, and different land covers."
S2B_MSIL2A_20180421T100029_N9999_R122_T33TWN_36_38,"Provide a detailed description of the image, specifying the geographic region and land cover types."
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_43_08,"Explain the features in the image, highlighting the geographic context, season, and land cover classes."
S2B_MSIL2A_20180204T094159_N9999_R036_T35VNH_26_42,"Describe the image, noting where it was captured, the season, and the distribution of land cover types."
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNK_11_82,"Explain the observed land cover and spatial patterns, including the location and climate context."
S2B_MSIL2A_20170927T094019_N9999_R036_T35ULB_11_54,"Provide a detailed description of the image, specifying the geographic region and land cover types."
S2A_MSIL2A_20170905T095031_N9999_R079_T35VNL_90_07,"Describe the image, specifying the region, climate, and landscape features."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VNH_19_31,Describe this image in detail.
S2B_MSIL2A_20171015T104009_N9999_R008_T31UGR_08_48,"Explain the features in the image, highlighting the geographic context, season, and land cover classes."
S2B_MSIL2A_20180220T114339_N9999_R123_T29UPV_86_12,"Provide a detailed summary of the scene, including the location and distribution of different land cover types."
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_81_63,"Provide a description of this image, including the location, season, and distribution of land cover types."
S2B_MSIL2A_20180127T102259_N9999_R065_T34VDN_09_80,"Give a detailed overview of the image content, including the geographic location and land cover features."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VNH_34_75,"Describe this satellite image, noting the region, seasonal context, and distribution of land cover types."
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_05_44,"Provide a comprehensive description of the scene, including the location, seasonal context and land cover distribution."
S2B_MSIL2A_20170927T094019_N9999_R036_T35ULB_66_35,"Explain the observed land cover and spatial patterns, including the location and climate context."
S2B_MSIL2A_20170817T101019_N9999_R022_T34WFS_89_28,"Provide a detailed description, mentioning the location, seasonal context, and different land covers."
S2B_MSIL2A_20180224T112109_N9999_R037_T29SNC_30_43,"Give a comprehensive overview of the image, specifying the location, climate, and landscape features."
S2B_MSIL2A_20170817T101019_N9999_R022_T34WFS_53_30,"Explain the content of the image, highlighting the location, seasonal context, and land cover distribution."
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_46_04,"Provide a detailed description, mentioning the location, seasonal context, and different land covers."
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_52_42,"Provide a comprehensive description of the scene, including the location, seasonal context and land cover distribution."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VNH_10_28,"Provide a detailed summary of the scene, including the location and distribution of different land cover types."
S2B_MSIL2A_20170930T095019_N9999_R079_T34UEG_82_66,"Describe the landscape shown in this satellite image, mentioning the region, climate, and land cover classes."
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_90_61,"Explain the features in the image, highlighting the geographic context, season, and land cover classes."
S2B_MSIL2A_20170808T094029_N9999_R036_T35ULA_85_40,"Describe the content of the satellite image, including where and when it was captured and the landscape composition."
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNC_05_49,"Describe the content of the image, including the region, climate zone, and land cover distribution."
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_49_29,"Describe the image, specifying the region, climate, and landscape features."
S2B_MSIL2A_20180515T094029_N9999_R036_T35VNJ_73_37,"Give a comprehensive overview of the image, specifying the location, climate, and landscape features."
S2B_MSIL2A_20180224T112109_N9999_R037_T29SNC_67_57,"Give a detailed overview of this satellite scene, including the region and land cover classes."
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNC_41_09,"Describe the image, noting where it was captured, the season, and the distribution of land cover types."
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_71_33,"Explain the features in the image, highlighting the geographic context, season, and land cover classes."
S2A_MSIL2A_20180430T094031_N9999_R036_T34TCR_50_67,"Explain what this image shows, including the region, climate zone, and land cover characteristics."
S2B_MSIL2A_20170924T093019_N9999_R136_T36VVQ_09_35,Describe this image in detail.
S2B_MSIL2A_20180326T112109_N9999_R037_T29SNB_79_08,"Provide a comprehensive description of the scene, including the location, seasonal context and land cover distribution."
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_81_36,Describe the satellite image in detail.
S2B_MSIL2A_20180326T112109_N9999_R037_T29SNB_11_40,"Provide a detailed description, mentioning the location, seasonal context, and different land covers."
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_79_01,"Explain what this satellite image shows, mentioning the location, season, and landscape features."
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_33_06,"Explain what this satellite image shows, mentioning the location, season, and landscape features."
S2B_MSIL2A_20170927T094019_N9999_R036_T35ULB_83_76,"Describe this satellite image, noting the region, seasonal context, and distribution of land cover types."
S2B_MSIL2A_20170906T101019_N9999_R022_T34WFS_87_65,"Provide a detailed description of the image, specifying the geographic region and land cover types."
S2B_MSIL2A_20171015T104009_N9999_R008_T31UGR_14_11,Describe this image in detail.
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_41_18,Describe the satellite image in detail.
S2B_MSIL2A_20170906T101019_N9999_R022_T34WFS_88_58,"Provide a summary of the scene, including geographic information, season, and land cover classes."
S2B_MSIL2A_20180515T094029_N9999_R036_T35VNJ_54_52,"Provide an description of the image content, highlighting the geographic location, season, and spatial patterns."
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_72_06,"Describe this satellite image, including the location, season, and observed land cover."
S2B_MSIL2A_20170808T094029_N9999_R036_T35ULA_05_51,"Give a comprehensive overview of the image, specifying the location, climate, and landscape features."
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_58_07,"Explain the content of the image, highlighting the location, seasonal context, and land cover distribution."
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_83_26,"Explain the observed features in the image, specifying the geographic and seasonal context."
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_08_65,"Describe the satellite scene, including the region, time of year, and land cover classes."
S2A_MSIL2A_20170905T095031_N9999_R079_T35VNL_28_14,"Provide a summary of the scene, including geographic information, season, and land cover classes."
S2A_MSIL2A_20180413T095031_N9999_R079_T34UEG_28_61,"Describe the content of the satellite image, including where and when it was captured and the landscape composition."
S2A_MSIL2A_20171101T094131_N9999_R036_T35VNK_11_57,"Describe the image, noting where it was captured, the season, and the distribution of land cover types."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_65_22,"Provide a detailed description, mentioning the location, seasonal context, and different land covers."
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_01_13,"Provide a summary of the scene, including geographic information, season, and land cover classes."
S2A_MSIL2A_20180506T100031_N9999_R122_T33UWP_63_11,"Explain the landscape features visible in this image, including where and when it was captured."
S2B_MSIL2A_20180224T112109_N9999_R037_T29SNC_77_89,"Give a comprehensive overview of the image, specifying the location, climate, and landscape features."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_10_10,"Provide a detailed description of the image, specifying the geographic region and land cover types."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_02_90,"Give a detailed overview of the image content, including the geographic location and land cover features."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_21_08,"Describe the observed landscape, specifying the geographic location, season, and land cover composition."
S2A_MSIL2A_20170813T112121_N9999_R037_T29SNC_75_49,"Provide a description of this satellite image, including its geographic location, season, and land cover types."
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_86_36,"Explain what this image shows, including the region, climate zone, and land cover characteristics."
S2B_MSIL2A_20170709T094029_N9999_R036_T35VNL_52_09,"Explain the observed features in the image, specifying the geographic and seasonal context."
S2B_MSIL2A_20170817T101019_N9999_R022_T34WFS_63_12,"Explain what can be seen in this satellite image, specifying where and when it was captured."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_50_41,"Provide a comprehensive description of the scene, including the location, seasonal context and land cover distribution."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_55_63,"Explain the distribution of land cover in this image, including the geographic region and season."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_12_50,"Explain the observed land cover and spatial patterns, including the location and climate context."
S2B_MSIL2A_20170927T094019_N9999_R036_T35ULB_83_56,"Provide a description of this satellite image, including its geographic location, season, and land cover types."
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNL_54_84,"Describe the observed landscape, specifying the geographic location, season, and land cover composition."
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_80_20,"Provide a detailed description, mentioning the location, seasonal context, and different land covers."
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_36_67,"Provide a summary of the scene, including geographic information, season, and land cover classes."
S2B_MSIL2A_20180224T112109_N9999_R037_T29SNC_58_14,"Provide a detailed description, mentioning the location, seasonal context, and different land covers."
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_07_71,"Explain the distribution of land cover in this image, including the geographic region and season."
S2A_MSIL2A_20180510T094031_N9999_R036_T35VLC_74_69,"Describe this satellite image, including the location, season, and observed land cover."
S2B_MSIL2A_20170906T101019_N9999_R022_T34VDN_83_66,"Give a detailed overview of the image content, including the geographic location and land cover features."
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_37_86,"Describe the content of the image, including the region, climate zone, and land cover distribution."
S2B_MSIL2A_20170709T094029_N9999_R036_T35VNL_81_64,"Describe the content of the image, including the region, climate zone, and land cover distribution."
S2B_MSIL2A_20171112T114339_N9999_R123_T29UPU_34_42,"Describe the observed landscape, specifying the geographic location, season, and land cover composition."
S2B_MSIL2A_20170927T094019_N9999_R036_T35ULB_48_12,"Provide a detailed summary of the scene, including the location and distribution of different land cover types."
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEP_81_48,"Provide a summary of the scene, including geographic information, season, and land cover classes."
S2B_MSIL2A_20180521T100029_N9999_R122_T34WFS_09_57,"Explain the features in the image, highlighting the geographic context, season, and land cover classes."
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_47_69,"Explain what this image shows, including the region, climate zone, and land cover characteristics."
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNB_15_32,"Provide a detailed summary of the scene, including the location and distribution of different land cover types."
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_89_07,"Give a comprehensive overview of the image, specifying the location, climate, and landscape features."
S2A_MSIL2A_20171101T094131_N9999_R036_T35VNK_73_21,"Provide a detailed summary of the scene, including the location and distribution of different land cover types."
S2B_MSIL2A_20180224T112109_N9999_R037_T29SNC_81_20,"Explain the observed features in the image, specifying the geographic and seasonal context."
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_28_59,"Provide a summary of the scene, including geographic information, season, and land cover classes."
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_66_79,"Explain what this image shows, including the region, climate zone, and land cover characteristics."
S2A_MSIL2A_20170813T112121_N9999_R037_T29SNC_31_87,"Describe the content of the satellite image, including where and when it was captured and the landscape composition."
S2B_MSIL2A_20170906T101019_N9999_R022_T34VDN_69_85,"Provide an analysis of the satellite image, mentioning the geographic location, season, and land cover features."
S2B_MSIL2A_20171112T114339_N9999_R123_T29UPU_21_83,"Provide a detailed description, mentioning the location, seasonal context, and different land covers."
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNL_03_39,"Give a detailed overview of this satellite scene, including the region and land cover classes."
S2B_MSIL2A_20170824T100019_N9999_R122_T33TWM_35_06,Describe the satellite image in detail.
S2B_MSIL2A_20180204T094159_N9999_R036_T35VNH_51_49,"Describe the satellite scene, including the region, time of year, and land cover classes."
S2B_MSIL2A_20180421T100029_N9999_R122_T33TWM_18_15,"Describe the observed landscape, specifying the geographic location, season, and land cover composition."
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_40_65,"Explain what this image shows, including the region, climate zone, and land cover characteristics."
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_66_41,"Describe the content of the satellite image, including where and when it was captured and the landscape composition."
S2A_MSIL2A_20180510T094031_N9999_R036_T35VLC_69_68,"Give a detailed overview of this satellite scene, including the region and land cover classes."
S2A_MSIL2A_20180318T093031_N9999_R136_T35UMB_16_00,"Give a detailed overview of the image content, including the geographic location and land cover features."
S2A_MSIL2A_20170813T112121_N9999_R037_T29SNC_85_47,Describe this image in detail.
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_52_74,"Provide a detailed description of the image, specifying the geographic region and land cover types."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VNH_50_38,"Provide a description of this image, including the location, season, and distribution of land cover types."
S2B_MSIL2A_20180220T114339_N9999_R123_T29UPV_20_59,"Give a detailed overview of the image content, including the geographic location and land cover features."
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_50_25,"Explain what this satellite image shows, mentioning the location, season, and landscape features."
S2B_MSIL2A_20170927T094019_N9999_R036_T35ULB_03_07,"Give a detailed overview of the image content, including the geographic location and land cover features."
S2B_MSIL2A_20170808T094029_N9999_R036_T35ULA_52_53,"Explain what this image shows, including the region, climate zone, and land cover characteristics."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_79_07,"Describe the landscape shown in this satellite image, mentioning the region, climate, and land cover classes."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_59_01,"Provide an analysis of the satellite image, mentioning the geographic location, season, and land cover features."
S2B_MSIL2A_20180515T094029_N9999_R036_T35VNJ_51_64,"Describe the observed landscape, specifying the geographic location, season, and land cover composition."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_58_51,"Describe the image, noting where it was captured, the season, and the distribution of land cover types."
S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_06_67,"Explain the distribution of land cover in this image, including the geographic region and season."
S2B_MSIL2A_20170930T095019_N9999_R079_T34UEG_44_39,"Explain what this image shows, including the region, climate zone, and land cover characteristics."
S2B_MSIL2A_20170906T101019_N9999_R022_T34WFS_41_04,"Explain the observed land cover and spatial patterns, including the location and climate context."
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_52_63,"Provide a comprehensive description of the scene, including the location, seasonal context and land cover distribution."
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_84_14,"Describe the content of the image, including the region, climate zone, and land cover distribution."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SNC_49_32,"Explain the features in the image, highlighting the geographic context, season, and land cover classes."
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEP_75_64,Describe this image in detail.
S2A_MSIL2A_20171101T094131_N9999_R036_T35VNK_74_07,"Explain what this image shows, including the region, climate zone, and land cover characteristics."
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEP_02_64,"Provide a comprehensive description of the scene, including the location, seasonal context and land cover distribution."
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_59_38,"Explain the features in the image, highlighting the geographic context, season, and land cover classes."
S2A_MSIL2A_20180413T095031_N9999_R079_T34UEG_13_57,"Provide a summary of the scene, including geographic information, season, and land cover classes."
S2B_MSIL2A_20180521T100029_N9999_R122_T34WFS_71_72,"Describe the observed landscape, specifying the geographic location, season, and land cover composition."
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_11_26,"Describe the landscape shown in this satellite image, mentioning the region, climate, and land cover classes."
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_42_71,"Provide a detailed description, mentioning the location, seasonal context, and different land covers."
S2B_MSIL2A_20180204T094159_N9999_R036_T35VNH_03_70,"Explain what can be seen in this satellite image, specifying where and when it was captured."
S2B_MSIL2A_20170709T094029_N9999_R036_T35VNL_63_20,"Describe the landscape shown in this satellite image, mentioning the region, climate, and land cover classes."
S2A_MSIL2A_20180413T095031_N9999_R079_T34UEG_34_34,"Provide an analysis of the satellite image, mentioning the geographic location, season, and land cover features."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_90_27,"Provide a detailed description, mentioning the location, seasonal context, and different land covers."
S2B_MSIL2A_20180224T112109_N9999_R037_T29SNC_04_40,"Describe the satellite scene, including the region, time of year, and land cover classes."
S2B_MSIL2A_20170930T095019_N9999_R079_T34UEG_89_87,"Provide a comprehensive description of the scene, including the location, seasonal context and land cover distribution."
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEP_04_85,"Explain what this satellite image shows, mentioning the location, season, and landscape features."
S2B_MSIL2A_20170808T094029_N9999_R036_T35ULA_44_25,"Describe the landscape shown in this satellite image, mentioning the region, climate, and land cover classes."
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_47_11,"Explain the content of the image, highlighting the location, seasonal context, and land cover distribution."
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_84_26,"Provide a description of this satellite image, including its geographic location, season, and land cover types."
S2B_MSIL2A_20180220T114339_N9999_R123_T29UPV_89_17,"Describe the observed landscape, specifying the geographic location, season, and land cover composition."
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_22_40,Describe this image in detail.
S2B_MSIL2A_20180515T094029_N9999_R036_T35VNJ_12_32,"Explain what this satellite image shows, mentioning the location, season, and landscape features."
S2B_MSIL2A_20180204T094159_N9999_R036_T35VPK_56_33,"Give a comprehensive overview of the image, specifying the location, climate, and landscape features."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SNC_42_57,"Provide a description of this satellite image, including its geographic location, season, and land cover types."
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_77_75,"Explain what can be seen in this satellite image, specifying where and when it was captured."
S2B_MSIL2A_20170808T094029_N9999_R036_T35ULA_42_46,"Describe the landscape shown in this satellite image, mentioning the region, climate, and land cover classes."
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_11_40,"Provide a detailed summary of the scene, including the location and distribution of different land cover types."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_21_07,"Provide a detailed summary of the scene, including the location and distribution of different land cover types."
S2B_MSIL2A_20180220T114339_N9999_R123_T29UPV_74_44,"Provide a detailed summary of the scene, including the location and distribution of different land cover types."
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_82_64,"Describe the image, specifying the region, climate, and landscape features."
S2B_MSIL2A_20180521T100029_N9999_R122_T34WFS_79_51,"Give a detailed overview of the image content, including the geographic location and land cover features."
S2B_MSIL2A_20170817T101019_N9999_R022_T34WFS_09_62,"Give a detailed overview of this satellite scene, including the region and land cover classes."
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_84_48,"Explain the features in the image, highlighting the geographic context, season, and land cover classes."
S2A_MSIL2A_20180510T094031_N9999_R036_T35VLC_13_73,"Describe this satellite image, including the location, season, and observed land cover."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_27_50,"Describe the observed landscape, specifying the geographic location, season, and land cover composition."
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_65_22,Describe this image in detail.
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_84_61,"Describe the satellite scene, including the region, time of year, and land cover classes."
S2B_MSIL2A_20170709T094029_N9999_R036_T35VNL_13_11,"Describe the image, noting where it was captured, the season, and the distribution of land cover types."
S2A_MSIL2A_20170905T095031_N9999_R079_T35VNL_78_01,Describe the satellite image in detail.
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEP_82_40,"Describe the image, noting where it was captured, the season, and the distribution of land cover types."
S2A_MSIL2A_20180430T094031_N9999_R036_T34TCR_39_31,Describe this image in detail.
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_42_06,"Explain the features in the image, highlighting the geographic context, season, and land cover classes."
S2A_MSIL2A_20180413T095031_N9999_R079_T34UEG_85_83,"Explain the content of the image, highlighting the location, seasonal context, and land cover distribution."
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_76_25,"Provide a description of this satellite image, including its geographic location, season, and land cover types."
S2B_MSIL2A_20171112T114339_N9999_R123_T29UPU_00_17,"Explain the content of the image, highlighting the location, seasonal context, and land cover distribution."
S2A_MSIL2A_20180430T094031_N9999_R036_T34TCR_57_27,"Explain what can be seen in this satellite image, specifying where and when it was captured."
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNB_19_09,"Provide a summary of the scene, including geographic information, season, and land cover classes."
S2B_MSIL2A_20180515T094029_N9999_R036_T35VNJ_75_03,"Explain the landscape features visible in this image, including where and when it was captured."
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNL_61_02,"Explain the observed features in the image, specifying the geographic and seasonal context."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SNC_49_23,"Give a detailed overview of this satellite scene, including the region and land cover classes."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SNC_80_34,"Provide a detailed description, mentioning the location, seasonal context, and different land covers."
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_39_54,"Explain the observed land cover and spatial patterns, including the location and climate context."
S2A_MSIL2A_20180413T095031_N9999_R079_T34UEG_19_26,"Provide a detailed summary of the scene, including the location and distribution of different land cover types."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_62_16,Describe this image in detail.
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNK_71_60,"Explain what this image shows, including the region, climate zone, and land cover characteristics."
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_21_31,"Describe the content of the image, including the region, climate zone, and land cover distribution."
